name,id,primaryCuisineId,address,chainCode,chainName,chainMainCode,cuisines,heroImage,heroListingImage,latitude,longitude,minimumDeliveryTime,minimumDeliveryTimeUpperLimit,minimumDeliveryTimeLowerLimit,minimumOrderAmount,minimumPickupTime,postCode,rating,urlKey,reviewNumber,vendorPoints,webPath,legalName,tradeRegisterNumber,customerPhone,vertical,deliveryProvider,isActive,is_best_in_city,is_new,is_delivery_enabled,is_pickup_enabled,is_service_fee_enabled,is_test,is_promoted
The Famous Malir Cafe,90724,103,"House no. 1/8-B, Liaquat Avenue, Model Colony, Karachi",,,,"Beverages, Biryani, Western, Ice Cream, Healthy Food, Middle Eastern, Paratha, Pakistani, Sandwiches, Japanese, Vegetarian, Pizza, Chinese, Thai, Cakes & Bakery, Continental, Tea & Coffee, Broast, Wraps & Rolls, Steak, Pasta, BBQ, Shawarma, Savouries, Pulao, Seafood, Desserts, Burgers, Fast Food, American",https://images.deliveryhero.io/image/fd-pk/LH/psan-hero.jpg,https://images.deliveryhero.io/image/fd-pk/LH/psan-listing.jpg,24.90084453,67.18936012,0,,,0,15,75050,3.4,the-famous-malir-cafe,110,20123,https://foodpanda.pk/restaurant/psan/the-famous-malir-cafe,FARAH NAZ,+923422003184,+923422003184,"beverages, bakery, drinks, restaurants, convenience, snacks_and_sweets, bakery_and_dessert, home_based_kitchen",platform_delivery,true,false,false,true,true,false,false,false
The Famous Malir Cafe,90724,103,"House no. 1/8-B, Liaquat Avenue, Model Colony, Karachi",,,,"Beverages, Biryani, Western, Ice Cream, Healthy Food, Middle Eastern, Paratha, Pakistani, Sandwiches, Japanese, Vegetarian, Pizza, Chinese, Thai, Cakes & Bakery, Continental, Tea & Coffee, Broast, Wraps & Rolls, Steak, Pasta, BBQ, Shawarma, Savouries, Pulao, Seafood, Desserts, Burgers, Fast Food, American",https://images.deliveryhero.io/image/fd-pk/LH/psan-hero.jpg,https://images.deliveryhero.io/image/fd-pk/LH/psan-listing.jpg,24.90084453,67.18936012,0,,,0,15,75050,3.4,the-famous-malir-cafe,110,20123,https://foodpanda.pk/restaurant/psan/the-famous-malir-cafe,FARAH NAZ,+923422003184,+923422003184,"beverages, bakery, drinks, restaurants, convenience, snacks_and_sweets, bakery_and_dessert, home_based_kitchen",platform_delivery,true,false,false,true,true,false,false,false
The juice house,66350,110,"Mughal Hazara Goth Block 3 Gulistan-e-Johar, Karachi, Karachi City, Sindh",,,,"Ice Cream, Shakes, Continental, Fast Food",https://images.deliveryhero.io/image/fd-pk/LH/mrhx-hero.jpg,https://images.deliveryhero.io/image/fd-pk/LH/mrhx-listing.jpg,24.9262055,67.136241,0,,,0,15,000000,4.1,the-juice-house,274,18975,https://foodpanda.pk/restaurant/mrhx/the-juice-house,MUHAMMAD MEHDI,+923312646116,+923312646116,"restaurants, home_based_kitchen",platform_delivery,true,false,false,true,false,false,false,false
The juice house,66350,110,"Mughal Hazara Goth Block 3 Gulistan-e-Johar, Karachi, Karachi City, Sindh",,,,"Ice Cream, Shakes, Continental, Fast Food",https://images.deliveryhero.io/image/fd-pk/LH/mrhx-hero.jpg,https://images.deliveryhero.io/image/fd-pk/LH/mrhx-listing.jpg,24.9262055,67.136241,0,,,0,15,000000,4.1,the-juice-house,274,18975,https://foodpanda.pk/restaurant/mrhx/the-juice-house,MUHAMMAD MEHDI,+923312646116,+923312646116,"restaurants, home_based_kitchen",platform_delivery,true,false,false,true,false,false,false,false
Chatterbox - Zamzama,15913,103,"Chatter Box SHOP NO.2, PLOT NO.3/C , 3RD ZAMZAMA COMM. LANE ,PH-5, DHA, ,KARACHI.",cl5kq,Chatter box,u5yi,"Shakes, Pasta, Burgers, Fast Food",https://images.deliveryhero.io/image/fd-pk/LH/u5yi-hero.jpg,https://images.deliveryhero.io/image/fd-pk/LH/u5yi-listing.jpg,24.817269,67.042283,17025,180,160,0,25,75500,4.1,chatterbox-zamzama,590,12441,https://foodpanda.pk/restaurant/u5yi/chatterbox-zamzama,PIE IN THE SKY PVT LMITED,+923322536222,+923322536222,"restaurants, street_food",dine_in,true,false,false,true,true,false,false,false
Chatterbox - Zamzama,15913,103,"Chatter Box SHOP NO.2, PLOT NO.3/C , 3RD ZAMZAMA COMM. LANE ,PH-5, DHA, ,KARACHI.",cl5kq,Chatter box,u5yi,"Shakes, Pasta, Burgers, Fast Food",https://images.deliveryhero.io/image/fd-pk/LH/u5yi-hero.jpg,https://images.deliveryhero.io/image/fd-pk/LH/u5yi-listing.jpg,24.817269,67.042283,17025,180,160,0,25,75500,4.1,chatterbox-zamzama,590,12441,https://foodpanda.pk/restaurant/u5yi/chatterbox-zamzama,PIE IN THE SKY PVT LMITED,+923322536222,+923322536222,"restaurants, street_food",dine_in,true,false,false,true,true,false,false,false
Geo Kashmiri Nihari & Sheermal House-Maymar,68663,139,"Plot CS 15, Dimond Terrace, Gulshan e Maymar, Karachi, Karachi City, Sindh",,,,"Wraps & Rolls, Paratha, Pakistani, Nihari",https://images.deliveryhero.io/image/fd-pk/LH/b85i-hero.jpg,https://images.deliveryhero.io/image/fd-pk/LH/b85i-listing.jpg,25.00014595,67.12778595,0,,,0,15,75340,3.8,geo-kashmiri-nihari-and-sheermal-house-maymar,414,0,https://foodpanda.pk/restaurant/b85i/geo-kashmiri-nihari-and-sheermal-house-maymar,MUHAMMAD RIASAT AWAN,+923432796502,+923432796502,restaurants,dine_in,true,false,false,true,true,false,false,false
Geo Kashmiri Nihari & Sheermal House-Maymar,68663,139,"Plot CS 15, Dimond Terrace, Gulshan e Maymar, Karachi, Karachi City, Sindh",,,,"Wraps & Rolls, Paratha, Pakistani, Nihari",https://images.deliveryhero.io/image/fd-pk/LH/b85i-hero.jpg,https://images.deliveryhero.io/image/fd-pk/LH/b85i-listing.jpg,25.00014595,67.12778595,0,,,0,15,75340,3.8,geo-kashmiri-nihari-and-sheermal-house-maymar,414,0,https://foodpanda.pk/restaurant/b85i/geo-kashmiri-nihari-and-sheermal-house-maymar,MUHAMMAD RIASAT AWAN,+923432796502,+923432796502,restaurants,dine_in,true,false,false,true,true,false,false,false
RH Pizza - Model Colony,90865,73,"36/1-1 Sheet 19, near Malir Cantt Check Post No 2, Model Colony Block 19 Malir Cantonment, Karachi, Karachi City, Sindh 75080, Pakistan",,,,"Beverages, Biryani, Western, Healthy Food, Middle Eastern, Pakistani, Sandwiches, Japanese, Vegetarian, Pizza, Chinese, Thai, Cakes & Bakery, Continental, Tea & Coffee, Broast, Wraps & Rolls, Steak, BBQ, Shawarma, Savouries, Pulao, Seafood, Desserts, Burgers, Fast Food, American",https://images.deliveryhero.io/image/fd-pk/LH/zglp-hero.jpg,https://images.deliveryhero.io/image/fd-pk/LH/zglp-listing.jpg,24.9119597,67.192235,0,,,0,15,75290,0,rh-pizza-model-colony-zglp,0,0,https://foodpanda.pk/restaurant/zglp/rh-pizza-model-colony-zglp,RH PIZZA,+923089072092,+923089072092,"beverages, bakery, drinks, restaurants, convenience, snacks_and_sweets, bakery_and_dessert, home_based_kitchen",dine_in,true,false,false,true,true,false,false,false
RH Pizza - Model Colony,90865,73,"36/1-1 Sheet 19, near Malir Cantt Check Post No 2, Model Colony Block 19 Malir Cantonment, Karachi, Karachi City, Sindh 75080, Pakistan",,,,"Beverages, Biryani, Western, Healthy Food, Middle Eastern, Pakistani, Sandwiches, Japanese, Vegetarian, Pizza, Chinese, Thai, Cakes & Bakery, Continental, Tea & Coffee, Broast, Wraps & Rolls, Steak, BBQ, Shawarma, Savouries, Pulao, Seafood, Desserts, Burgers, Fast Food, American",https://images.deliveryhero.io/image/fd-pk/LH/zglp-hero.jpg,https://images.deliveryhero.io/image/fd-pk/LH/zglp-listing.jpg,24.9119597,67.192235,0,,,0,15,75290,0,rh-pizza-model-colony-zglp,0,0,https://foodpanda.pk/restaurant/zglp/rh-pizza-model-colony-zglp,RH PIZZA,+923089072092,+923089072092,"beverages, bakery, drinks, restaurants, convenience, snacks_and_sweets, bakery_and_dessert, home_based_kitchen",dine_in,true,false,false,true,true,false,false,false
Bun & BBQ,88025,86,Plot # 145 DMCH Society Karachi,,,,"BBQ, Desserts, Burgers, Fast Food",https://images.deliveryhero.io/image/fd-pk/LH/lh6u-hero.jpg,https://images.deliveryhero.io/image/fd-pk/LH/lh6u-listing.jpg,24.87932973,67.07211665,0,,,0,15,75100,4.8,bun-and-bbq-lh6u,17,7984,https://foodpanda.pk/restaurant/lh6u/bun-and-bbq-lh6u,Asif Ali Pirzada,+923002100056,+923002100056,restaurants,dine_in,true,false,false,true,true,false,false,false
Bun & BBQ,88025,86,Plot # 145 DMCH Society Karachi,,,,"BBQ, Desserts, Burgers, Fast Food",https://images.deliveryhero.io/image/fd-pk/LH/lh6u-hero.jpg,https://images.deliveryhero.io/image/fd-pk/LH/lh6u-listing.jpg,24.87932973,67.07211665,0,,,0,15,75100,4.8,bun-and-bbq-lh6u,17,7984,https://foodpanda.pk/restaurant/lh6u/bun-and-bbq-lh6u,Asif Ali Pirzada,+923002100056,+923002100056,restaurants,dine_in,true,false,false,true,true,false,false,false
A1 Foods,94013,86,"House. 505 Beside cafe karachi, prince arcade Block. 7 fb area. Karachi.",,,,"Wraps & Rolls, Beverages, Chinese, Burgers, Fast Food",https://images.deliveryhero.io/image/fd-pk/LH/loez-hero.jpg,https://images.deliveryhero.io/image/fd-pk/LH/loez-listing.jpg,24.9259074,67.0664714,0,,,0,15,75950,3.9,a1-foods,95,21204,https://foodpanda.pk/restaurant/loez/a1-foods,MUHAMMAD SOHAIL,+923171098795,+923171098795,home_based_kitchen,platform_delivery,true,false,false,true,false,false,false,false
A1 Foods,94013,86,"House. 505 Beside cafe karachi, prince arcade Block. 7 fb area. Karachi.",,,,"Wraps & Rolls, Beverages, Chinese, Burgers, Fast Food",https://images.deliveryhero.io/image/fd-pk/LH/loez-hero.jpg,https://images.deliveryhero.io/image/fd-pk/LH/loez-listing.jpg,24.9259074,67.0664714,0,,,0,15,75950,3.9,a1-foods,95,21204,https://foodpanda.pk/restaurant/loez/a1-foods,MUHAMMAD SOHAIL,+923171098795,+923171098795,home_based_kitchen,platform_delivery,true,false,false,true,false,false,false,false
Baby Baker’s,94188,86,R2/61 makhdoom bilawal village scheme 33,,,,"Beverages, Pizza, Desserts, Fast Food",https://images.deliveryhero.io/image/fd-pk/LH/wy7r-hero.jpg,https://images.deliveryhero.io/image/fd-pk/LH/wy7r-listing.jpg,24.9536864,67.138708,0,,,0,15,788078,5,baby-bakers,3,7127,https://foodpanda.pk/restaurant/wy7r/baby-bakers,RAFIA AIJAZ,+923002379032,+923141660247,home_based_kitchen,platform_delivery,true,false,false,true,false,false,false,false
Baby Baker’s,94188,86,R2/61 makhdoom bilawal village scheme 33,,,,"Beverages, Pizza, Desserts, Fast Food",https://images.deliveryhero.io/image/fd-pk/LH/wy7r-hero.jpg,https://images.deliveryhero.io/image/fd-pk/LH/wy7r-listing.jpg,24.9536864,67.138708,0,,,0,15,788078,5,baby-bakers,3,7127,https://foodpanda.pk/restaurant/wy7r/baby-bakers,RAFIA AIJAZ,+923002379032,+923141660247,home_based_kitchen,platform_delivery,true,false,false,true,false,false,false,false
Hobnob Bakery - Kamran Chowrangi,94107,0,"Farhan classic, Shop # 5, ground floor, block # 12, gulistan-e-johar Karachi, near rado bakery and gulistane johar chorangi",,,,,https://images.deliveryhero.io/image/fd-pk/LH/dgo1-hero.jpg,https://images.deliveryhero.io/image/fd-pk/LH/dgo1-listing.jpg,24.91709311,67.13134927,0,,,0,15,74400,0,hobnob-bakery-kamran-chowrangi,0,0,https://foodpanda.pk/restaurant/dgo1/hobnob-bakery-kamran-chowrangi,HOBNOB BAKERIES,+923002640944,+923002640944,"bakery, bakery_and_dessert",platform_delivery,true,false,false,true,false,false,false,false
Hobnob Bakery - Kamran Chowrangi,94107,0,"Farhan classic, Shop # 5, ground floor, block # 12, gulistan-e-johar Karachi, near rado bakery and gulistane johar chorangi",,,,,https://images.deliveryhero.io/image/fd-pk/LH/dgo1-hero.jpg,https://images.deliveryhero.io/image/fd-pk/LH/dgo1-listing.jpg,24.91709311,67.13134927,0,,,0,15,74400,0,hobnob-bakery-kamran-chowrangi,0,0,https://foodpanda.pk/restaurant/dgo1/hobnob-bakery-kamran-chowrangi,HOBNOB BAKERIES,+923002640944,+923002640944,"bakery, bakery_and_dessert",platform_delivery,true,false,false,true,false,false,false,false
The Halal-Guys,84689,113,"Left from Balochistan Sajji, another left at junction, last plaza on the road (Badar Street), Shop# 84, 3rd Last shop in Samama Hill View Apartment on ground floor.",cq6fn,Kabsa Express,iqfg,"Middle Eastern, BBQ",https://images.deliveryhero.io/image/fd-pk/LH/wy7p-hero.jpg,https://images.deliveryhero.io/image/fd-pk/LH/wy7p-listing.jpg,24.9095643,67.1150662,17035,180,160,0,15,74600,4,the-halal-guys-wy7p,236,8774,https://foodpanda.pk/restaurant/wy7p/the-halal-guys-wy7p,AFRASIAB S/O MOHAMMAD AKBAR KH,+923222785155,+923222785155,restaurants,dine_in,true,false,false,true,false,false,false,false
The Halal-Guys,84689,113,"Left from Balochistan Sajji, another left at junction, last plaza on the road (Badar Street), Shop# 84, 3rd Last shop in Samama Hill View Apartment on ground floor.",cq6fn,Kabsa Express,iqfg,"Middle Eastern, BBQ",https://images.deliveryhero.io/image/fd-pk/LH/wy7p-hero.jpg,https://images.deliveryhero.io/image/fd-pk/LH/wy7p-listing.jpg,24.9095643,67.1150662,17035,180,160,0,15,74600,4,the-halal-guys-wy7p,236,8774,https://foodpanda.pk/restaurant/wy7p/the-halal-guys-wy7p,AFRASIAB S/O MOHAMMAD AKBAR KH,+923222785155,+923222785155,restaurants,dine_in,true,false,false,true,false,false,false,false
Zavery Pops (Gulshan),92117,84,"Flat B-1, 3rd Floor, Excellent Residency II, Plot A/E-119, Railway Society, Gulshan e Iqbal Block 13 A, Karachi.",cj4fo,Zavery Pops,ibtb,"Beverages, Biryani, Western, Ice Cream, Healthy Food, Middle Eastern, Pakistani, Sandwiches, Japanese, Vegetarian, Pizza, Chinese, Thai, Cakes & Bakery, Continental, Tea & Coffee, Broast, Wraps & Rolls, Steak, BBQ, Shawarma, Savouries, Pulao, Seafood, Desserts, Burgers, Fast Food, American",https://images.deliveryhero.io/image/fd-pk/LH/i48n-hero.jpg,https://images.deliveryhero.io/image/fd-pk/LH/i48n-listing.jpg,24.9062913,67.0761262,17020,180,160,0,5,7890099,4.7,zavery-pops-gulshan,79,19659,https://foodpanda.pk/restaurant/i48n/zavery-pops-gulshan,MUHAMMAD OWAIS ZAVERY,+923462761991,+923462761991,"beverages, bakery, drinks, restaurants, convenience, snacks_and_sweets, home_based_kitchen, bakery_and_dessert",platform_delivery,true,false,false,true,true,false,false,false
Zavery Pops (Gulshan),92117,84,"Flat B-1, 3rd Floor, Excellent Residency II, Plot A/E-119, Railway Society, Gulshan e Iqbal Block 13 A, Karachi.",cj4fo,Zavery Pops,ibtb,"Beverages, Biryani, Western, Ice Cream, Healthy Food, Middle Eastern, Pakistani, Sandwiches, Japanese, Vegetarian, Pizza, Chinese, Thai, Cakes & Bakery, Continental, Tea & Coffee, Broast, Wraps & Rolls, Steak, BBQ, Shawarma, Savouries, Pulao, Seafood, Desserts, Burgers, Fast Food, American",https://images.deliveryhero.io/image/fd-pk/LH/i48n-hero.jpg,https://images.deliveryhero.io/image/fd-pk/LH/i48n-listing.jpg,24.9062913,67.0761262,17020,180,160,0,5,7890099,4.7,zavery-pops-gulshan,79,19659,https://foodpanda.pk/restaurant/i48n/zavery-pops-gulshan,MUHAMMAD OWAIS ZAVERY,+923462761991,+923462761991,"beverages, bakery, drinks, restaurants, convenience, snacks_and_sweets, home_based_kitchen, bakery_and_dessert",platform_delivery,true,false,false,true,true,false,false,false
Desi Kitchen,92838,86,Street no 13 Al Raheem medical canter ka Hijrat colony Karachi,,,,"Beverages, Samosa, Pulao, Desserts, Fast Food",https://images.deliveryhero.io/image/fd-pk/LH/fedb-hero.jpg,https://images.deliveryhero.io/image/fd-pk/LH/fedb-listing.jpg,24.8379632,67.0236977,17010,180,160,0,10,0897,4.7,desi-kitchen-fedb,5,16567,https://foodpanda.pk/restaurant/fedb/desi-kitchen-fedb,MUHAMMAD KASHIF ARIF,+923442786739,+923168033805,home_based_kitchen,platform_delivery,true,false,false,true,false,false,false,false
Desi Kitchen,92838,86,Street no 13 Al Raheem medical canter ka Hijrat colony Karachi,,,,"Beverages, Samosa, Pulao, Desserts, Fast Food",https://images.deliveryhero.io/image/fd-pk/LH/fedb-hero.jpg,https://images.deliveryhero.io/image/fd-pk/LH/fedb-listing.jpg,24.8379632,67.0236977,17010,180,160,0,10,0897,4.7,desi-kitchen-fedb,5,16567,https://foodpanda.pk/restaurant/fedb/desi-kitchen-fedb,MUHAMMAD KASHIF ARIF,+923442786739,+923168033805,home_based_kitchen,platform_delivery,true,false,false,true,false,false,false,false
Natural and Fresh Dairy,89321,0,"Near shamim masjid, delhi colony, karachi",,,,,https://images.deliveryhero.io/image/fd-pk/LH/aoh1-hero.jpg,https://images.deliveryhero.io/image/fd-pk/LH/aoh1-listing.jpg,24.8313102,67.04193915,0,,,0,15,72000,0,natural-and-fresh-dairy,0,0,https://foodpanda.pk/restaurant/aoh1/natural-and-fresh-dairy,MUHAMMAD JAVED AKHTAR,+923032008832,+923032008832,"specialty_and_ethnic, groceries",platform_delivery,true,false,false,true,false,false,false,false
Natural and Fresh Dairy,89321,0,"Near shamim masjid, delhi colony, karachi",,,,,https://images.deliveryhero.io/image/fd-pk/LH/aoh1-hero.jpg,https://images.deliveryhero.io/image/fd-pk/LH/aoh1-listing.jpg,24.8313102,67.04193915,0,,,0,15,72000,0,natural-and-fresh-dairy,0,0,https://foodpanda.pk/restaurant/aoh1/natural-and-fresh-dairy,MUHAMMAD JAVED AKHTAR,+923032008832,+923032008832,"specialty_and_ethnic, groceries",platform_delivery,true,false,false,true,false,false,false,false
Yaar Im Hungry,52530,139,"Main Rashid Minhas Road Block Gulshan-e-Iqbal near Junaid Plaza, Karachi",,,,"Wraps & Rolls, Pakistani, Fast Food, Karahi & Handi",https://images.deliveryhero.io/image/fd-pk/LH/p7jv-hero.jpg,https://images.deliveryhero.io/image/fd-pk/LH/p7jv-listing.jpg,24.9210317,67.0947303,0,,,0,15,75300,3.3,yaar-im-hungry,633,11912,https://foodpanda.pk/restaurant/p7jv/yaar-im-hungry,SALMAN AHMED,+92 343 2438279,+923432438279,restaurants,dine_in,true,false,false,true,true,false,false,false
Yaar Im Hungry,52530,139,"Main Rashid Minhas Road Block Gulshan-e-Iqbal near Junaid Plaza, Karachi",,,,"Wraps & Rolls, Pakistani, Fast Food, Karahi & Handi",https://images.deliveryhero.io/image/fd-pk/LH/p7jv-hero.jpg,https://images.deliveryhero.io/image/fd-pk/LH/p7jv-listing.jpg,24.9210317,67.0947303,0,,,0,15,75300,3.3,yaar-im-hungry,633,11912,https://foodpanda.pk/restaurant/p7jv/yaar-im-hungry,SALMAN AHMED,+92 343 2438279,+923432438279,restaurants,dine_in,true,false,false,true,true,false,false,false
RELX - Khadda Market DHA,92363,0,"Shop No.4, plot No. 10-C, stadium lane no.3, Phase-V-ext- DHA, Karachi, Pakistan",,,,,https://images.deliveryhero.io/image/fd-pk/LH/brhe-hero.jpg,https://images.deliveryhero.io/image/fd-pk/LH/brhe-listing.jpg,24.81353188,67.04881287,0,,,0,15,75500,0,relx-khadda-market-dha,0,0,https://foodpanda.pk/restaurant/brhe/relx-khadda-market-dha,SBS ENTERPRISES PRIVATE LIMITED,+923333376152,+923135988378,electronics,platform_delivery,true,false,false,true,false,false,false,false
RELX - Khadda Market DHA,92363,0,"Shop No.4, plot No. 10-C, stadium lane no.3, Phase-V-ext- DHA, Karachi, Pakistan",,,,,https://images.deliveryhero.io/image/fd-pk/LH/brhe-hero.jpg,https://images.deliveryhero.io/image/fd-pk/LH/brhe-listing.jpg,24.81353188,67.04881287,0,,,0,15,75500,0,relx-khadda-market-dha,0,0,https://foodpanda.pk/restaurant/brhe/relx-khadda-market-dha,SBS ENTERPRISES PRIVATE LIMITED,+923333376152,+923135988378,electronics,platform_delivery,true,false,false,true,false,false,false,false
Chicken Bank,34773,0,"Shop No. 2, Al Azam Square, Phase 4, Near Munama Bakery Block 1 FB Area Karachi",,,,Sandwiches,https://images.deliveryhero.io/image/fd-pk/LH/w3nd-hero.jpg,https://images.deliveryhero.io/image/fd-pk/LH/w3nd-listing.jpg,24.9105272,67.0510178,17015,180,160,0,10,75950,3.5,chicken-bank,632,0,https://foodpanda.pk/restaurant/w3nd/chicken-bank,NADEEM SULEMAN,,+923120233239,"butchery, groceries",platform_delivery,true,false,false,true,false,false,false,false
Chicken Bank,34773,0,"Shop No. 2, Al Azam Square, Phase 4, Near Munama Bakery Block 1 FB Area Karachi",,,,Sandwiches,https://images.deliveryhero.io/image/fd-pk/LH/w3nd-hero.jpg,https://images.deliveryhero.io/image/fd-pk/LH/w3nd-listing.jpg,24.9105272,67.0510178,17015,180,160,0,10,75950,3.5,chicken-bank,632,0,https://foodpanda.pk/restaurant/w3nd/chicken-bank,NADEEM SULEMAN,,+923120233239,"butchery, groceries",platform_delivery,true,false,false,true,false,false,false,false
A M Foods,93861,74,"Near UMDC Rd, Korangi City, Sindh house no 1199 near nasir jump stop chakkra goth",,,,"Beverages, Chinese",https://images.deliveryhero.io/image/fd-pk/LH/xk8d-hero.jpg,https://images.deliveryhero.io/image/fd-pk/LH/xk8d-listing.jpg,24.820375,67.125036,17030,180,160,0,10,74600,3.1,a-m-foods-xk8d,71,20967,https://foodpanda.pk/restaurant/xk8d/a-m-foods-xk8d,MUHAMMAD ASIF,+923052140330,+923052140335,home_based_kitchen,platform_delivery,true,false,false,true,false,false,false,false
A M Foods,93861,74,"Near UMDC Rd, Korangi City, Sindh house no 1199 near nasir jump stop chakkra goth",,,,"Beverages, Chinese",https://images.deliveryhero.io/image/fd-pk/LH/xk8d-hero.jpg,https://images.deliveryhero.io/image/fd-pk/LH/xk8d-listing.jpg,24.820375,67.125036,17030,180,160,0,10,74600,3.1,a-m-foods-xk8d,71,20967,https://foodpanda.pk/restaurant/xk8d/a-m-foods-xk8d,MUHAMMAD ASIF,+923052140330,+923052140335,home_based_kitchen,platform_delivery,true,false,false,true,false,false,false,false
Shandar Piyala Haleem - Model Colony,73249,139,"shop no 22 , sheet 19 C, near ameen cement , model colony Malir",,,,Pakistani,https://images.deliveryhero.io/image/fd-pk/LH/ylz7-hero.jpg,https://images.deliveryhero.io/image/fd-pk/LH/ylz7-listing.jpg,24.9106258,67.193222,0,,,0,15,75500,3.8,shandar-piyala-haleem-model-colony,176,0,https://foodpanda.pk/restaurant/ylz7/shandar-piyala-haleem-model-colony,MUHAMMAD SAQIB,+923111762377,+923111762377,restaurants,dine_in,true,false,false,true,true,false,false,false
Shandar Piyala Haleem - Model Colony,73249,139,"shop no 22 , sheet 19 C, near ameen cement , model colony Malir",,,,Pakistani,https://images.deliveryhero.io/image/fd-pk/LH/ylz7-hero.jpg,https://images.deliveryhero.io/image/fd-pk/LH/ylz7-listing.jpg,24.9106258,67.193222,0,,,0,15,75500,3.8,shandar-piyala-haleem-model-colony,176,0,https://foodpanda.pk/restaurant/ylz7/shandar-piyala-haleem-model-colony,MUHAMMAD SAQIB,+923111762377,+923111762377,restaurants,dine_in,true,false,false,true,true,false,false,false
Misri Shah Biryani Center,44606,193,Shop no # 16 street 10 kh-e-bukhari phase 6 near misri shah mazar dha karachi,,,,"Samosa, Pakistani, Biryani",https://images.deliveryhero.io/image/fd-pk/LH/l3oc-hero.jpg,https://images.deliveryhero.io/image/fd-pk/LH/l3oc-listing.jpg,24.7994901,67.0699292,17015,180,160,0,5,75500,3.6,misri-shah-biryani-center,288,10799,https://foodpanda.pk/restaurant/l3oc/misri-shah-biryani-center,ADIL MEHMOOD ARAIN,,+923322009602,restaurants,dine_in,true,false,false,true,true,false,false,false
Misri Shah Biryani Center,44606,193,Shop no # 16 street 10 kh-e-bukhari phase 6 near misri shah mazar dha karachi,,,,"Samosa, Pakistani, Biryani",https://images.deliveryhero.io/image/fd-pk/LH/l3oc-hero.jpg,https://images.deliveryhero.io/image/fd-pk/LH/l3oc-listing.jpg,24.7994901,67.0699292,17015,180,160,0,5,75500,3.6,misri-shah-biryani-center,288,10799,https://foodpanda.pk/restaurant/l3oc/misri-shah-biryani-center,ADIL MEHMOOD ARAIN,,+923322009602,restaurants,dine_in,true,false,false,true,true,false,false,false
Cool Chill Out,85832,86,House -76 c Main khanan e Muhafiz D.H.A Phase  Karachi./.,,,,"Pakistani, Burgers, Fast Food",https://images.deliveryhero.io/image/fd-pk/LH/ssz5-hero.jpg,https://images.deliveryhero.io/image/fd-pk/LH/ssz5-listing.jpg,24.80844725,67.0732494,17020,180,160,0,10,0000,3.7,cool-chill-out,107,13627,https://foodpanda.pk/restaurant/ssz5/cool-chill-out,ARTY PARTY CHILDREN ENTERTAINMENT,+923212133044,+923212133044,"beverages, bakery, drinks, restaurants, convenience, snacks_and_sweets, home_based_kitchen, bakery_and_dessert",platform_delivery,true,false,false,true,false,false,false,false
Cool Chill Out,85832,86,House -76 c Main khanan e Muhafiz D.H.A Phase  Karachi./.,,,,"Pakistani, Burgers, Fast Food",https://images.deliveryhero.io/image/fd-pk/LH/ssz5-hero.jpg,https://images.deliveryhero.io/image/fd-pk/LH/ssz5-listing.jpg,24.80844725,67.0732494,17020,180,160,0,10,0000,3.7,cool-chill-out,107,13627,https://foodpanda.pk/restaurant/ssz5/cool-chill-out,ARTY PARTY CHILDREN ENTERTAINMENT,+923212133044,+923212133044,"beverages, bakery, drinks, restaurants, convenience, snacks_and_sweets, home_based_kitchen, bakery_and_dessert",platform_delivery,true,false,false,true,false,false,false,false
GEO QUETTA AL HABIB HOTEL,69537,139,"GEO QUETTA AL HABIB HOTEL, Allama Rasheed Turabi Road Geo Quetta Al Habib Hotel Geo al habib quetta hotel k. 125 block. F North Nazimabad Karachi",,,,"Beverages, Paratha, Pakistani, Tea & Coffee",https://images.deliveryhero.io/image/fd-pk/LH/k0kh-hero.jpg,https://images.deliveryhero.io/image/fd-pk/LH/k0kh-listing.jpg,24.9262596,67.04701935,0,,,0,15,74600,3.8,geo-quetta-al-habib-hotel,310,6833,https://foodpanda.pk/restaurant/k0kh/geo-quetta-al-habib-hotel,Manzoor Ahmed,+923022874217,+923022874217,restaurants,dine_in,true,false,false,true,true,false,false,false
GEO QUETTA AL HABIB HOTEL,69537,139,"GEO QUETTA AL HABIB HOTEL, Allama Rasheed Turabi Road Geo Quetta Al Habib Hotel Geo al habib quetta hotel k. 125 block. F North Nazimabad Karachi",,,,"Beverages, Paratha, Pakistani, Tea & Coffee",https://images.deliveryhero.io/image/fd-pk/LH/k0kh-hero.jpg,https://images.deliveryhero.io/image/fd-pk/LH/k0kh-listing.jpg,24.9262596,67.04701935,0,,,0,15,74600,3.8,geo-quetta-al-habib-hotel,310,6833,https://foodpanda.pk/restaurant/k0kh/geo-quetta-al-habib-hotel,Manzoor Ahmed,+923022874217,+923022874217,restaurants,dine_in,true,false,false,true,true,false,false,false
Al Naz Biryani-  Clifton block 2,84503,139,"Shop no.1, Hashoo terrace Block 5 
Kehkashan clifton karachi Pakistan",cx4fo,Al Naz Biryani,cwfs,"Pulao, Pakistani",https://images.deliveryhero.io/image/fd-pk/LH/cum1-hero.jpg,https://images.deliveryhero.io/image/fd-pk/LH/cum1-listing.jpg,24.82702246,67.03010177,17010,180,160,0,10,75500,3.2,al-naz-biryani-clifton-block-2,204,13359,https://foodpanda.pk/restaurant/cum1/al-naz-biryani-clifton-block-2,Imran Khan,+923079337522,+923102775362,restaurants,dine_in,true,false,false,true,true,false,false,false
